Estimate,Est Length,Bill No,Item,Height,Stretch,Length,Mbook,Pages,Date
RCC RW (225-500),275,Bill No. 11,Footing,7.8,484-500,16,16991,99-100,06-07-25
RCC RW (500-1000),500,Bill No. 10,Footing,7.8,500-603,103,16990,34-35,05-06-25
RCC RW (500-1000),500,Bill No. 09,Footing,7.8,603-639,36,16991,77-78,03-05-25
RCC RW (500-1000),500,Bill No. 15,Footing,7.8,639-651,12,17165,21-23,04-11-25
RCC RW (500-1000),500,Bill No. 08,Footing,7.8,651-699,48,16990,18-20,08-04-25
RCC RW (500-1000),500,Bill No. 07,Footing,7.8,699-794,95,16991,60-62,18-03-25
RCC RW (500-1000),500,Bill No. 06,Footing,7.8,794-818,24,16990,5-7,04-03-25
RCC RW (500-1000),500,Bill No. 09,Footing,7.8,818-914,96,16991,77-78,03-05-25
RCC RW (500-1000),500,Bill No. 10,Footing,7.8,914-950,36,16990,34-35,05-06-25
RCC RW (500-1000),500,Bill No. 10,Footing,8.4,950-962,12,16990,36-38,10-06-25
RCC RW (500-1000),500,Bill No. 10,Footing,10,962-969,7,16990,36-38,10-06-25
RCC RW (500-1000),500,Bill No. 10,Footing,10,973-1000,27,16990,36-38,10-06-25
RCC RW (1000-1500),500,Bill No. 10,Footing,10,1000-1022,22,16990,36-38,10-06-25
RCC RW (1000-1500),500,Bill No. 11,Footing,10,1022-1150,128,16990,49-50,10-07-25
RCC RW (1000-1500),500,Bill No. 12,Footing,6.9,1158-1174,16,16990,63-65,14-08-25
RCC RW (1000-1500),500,Bill No. 10,Footing,6.9,1174-1239,65,16990,36-38,10-06-25
RCC RW (1000-1500),500,Bill No. 16,Footing,,1239-1250,11,17165,33-34,05-12-25
RCC RW (1000-1500),500,Bill No. 14,Footing,6.9,1250-1284,34,16990,98-100,30-09-25
RCC RW (1000-1500),500,Bill No. 13,Footing,6.9,1284-1404,120,16990,78-79,03-09-25
RCC RW (1000-1500),500,Bill No. 14,Footing,6.9,1404-1441,37,16990,98-100,30-09-25
RCC RW (1000-1500),500,Bill No. 10,Footing,6.9,1441-1465,24,16990,36-38,10-06-25
RCC RW (1000-1500),500,Bill No. 06,Footing,6.9,1465-1500,35,16990,5-7,04-03-25
RCC RW (1500-2000),500,Bill No. 06,Footing,6.9,1500-1507,7,16990,5-7,04-03-25
RCC RW (1500-2000),500,Bill No. 05,Footing,6.9,1511-1592,81,16991,44-45,14-02-25
RCC RW (1500-2000),500,Bill No. 05,Footing,6.9,1592-1639,47,16991,46-49,15-02-25
RCC RW (1500-2000),500,Bill No. 04,Footing,6.9,1639-1710,71,16991,11-15,26-01-25
RCC RW (1500-2000),500,Bill No. 04,Footing,6.9,1710-1733,23,16991,11-15,26-01-25
RCC RW (1500-2000),500,Bill No. 03,Footing,5.9,1733-1805,72,16981,35-38,03-01-25
RCC RW (1500-2000),500,Bill No. 07,Footing,5.9,1805-1825,20,16991,60-62,18-03-25
RCC RW (1500-2000),500,Bill No. 07,Footing,7.8,1825-1837,12,16991,60-62,18-03-25
RCC RW (1500-2000),500,Bill No. 07,Footing,8.4,1837-1861,24,16991,60-62,18-03-25
RCC RW (1500-2000),500,Bill No. 06,Footing,8.4,1861-1883,22,16990,18-20,08-04-25
RCC RW (1500-2000),500,Bill No. 09,Footing,8.4,1908-1976,68,16991,79-81,09-05-25
RCC RW (1500-2000),500,Bill No. 09,Footing,7.8,1976-1988,12,16991,77-78,03-05-25
RCC RW (1500-2000),500,Bill No. 06,Footing,6.9,1988-2000,12,16990,18-20,08-04-25
RCC RW  (2000 - 2600),600,Bill No. 04,Footing,5.9,2000-2030,30,16991,16-20,28-01-25
RCC RW  (2000 - 2600),600,Bill No. 03,Footing,5.9,2030-2069,39,16981,35-38,03-01-25
RCC RW  (2000 - 2600),600,Bill No. 03,Footing,5.9,2074-2150,76,16981,35-38,03-01-25
RCC RW  (2000 - 2600),600,Bill No. 02,Footing,5.9,2150-2186,36,16983,8-11,27-11-24
RCC RW  (2000 - 2600),600,Bill No. 02,Footing,5.9,2186-2221,35,16983,8-11,27-11-24
RCC RW  (2000 - 2600),600,Bill No. 03,Footing,5.9,2221-2246,25,16981,39-43,07-01-25
RCC RW  (2000 - 2600),600,Bill No. 04,Footing,5.9,2246-2281,35,16991,16-20,28-01-25
RCC RW  (2000 - 2600),600,Bill No. 05,Footing,5.9,2281-2293,12,16991,46-49,15-02-25
RCC RW  (2000 - 2600),600,Bill No. 12,Footing,5.9,2293-2335,42,16990,63-65,14-08-25
RCC RW  (2000 - 2600),600,Bill No. 02,Footing,5.9,2335-2370,35,16983,8-11,27-11-24
RCC RW  (2000 - 2600),600,Bill No. 02,Footing,5.9,2370-2405,35,16983,8-11,27-11-24
RCC RW  (2000 - 2600),600,Bill No. 02,Footing,5.9,2405-2417,12,16983,8-11,27-11-24
RCC RW  (2000 - 2600),600,Bill No. 03,Footing,5.9,2417-2496,79,16981,39-43,07-01-25
RCC RW  (2000 - 2600),600,Bill No. 04,Footing,5.9,2496-2500,4,16991,16-20,28-01-25
RCC RW  (2000 - 2600),600,Bill No. 04,Footing,6.9,2500-2531,31,16991,16-20,28-01-25
RCC RW  (2000 - 2600),600,Bill No. 06,Footing,6.9,2531-2547,16,16990,5-7,04-03-25
RCC RW  (2000 - 2600),600,Bill No. 05,Footing,6.9,2547-2571,24,16991,46-49,15-02-25
RCC RW  (2000 - 2600),600,Bill No. 06,Footing,6.9,2571-2600,29,16990,5-7,04-03-25
RCC RW (2600-3000),400,Bill No. 09,Footing,6.9,2600-2650,50,16991,79-81,09-05-25
RCC RW (2600-3000),400,,No wall,,2650-3000,350,,,
RCC RW (3000 -3600),600,,No wall,,3000-3125,125,,,
RCC RW (3000 -3600),600,Bill No. 15,Footing,5.9,3125-3135,10,17165,21-23,04-11-25
RCC RW (3000 -3600),600,Bill No. 12,Footing,5.9,3135-3150,15,16990,63-65,14-08-25
RCC RW (3000 -3600),600,Bill No. 02,Footing,5.9,3150-3220,70,16983,15-16,06-12-24
RCC RW (3000 -3600),600,Bill No. 03,Footing,5.9,3220-3236,16,16981,39-43,07-01-25
RCC RW (3000 -3600),600,Bill No. 03,Footing,5.9,3240-3251,11,16981,39-43,07-01-25
RCC RW (3000 -3600),600,Bill No. 02,Footing,5.9,3251-3275,24,16983,15-16,06-12-24
RCC RW (3000 -3600),600,Bill No. 02,Footing,5.9,3275-3450,175,16983,20-22,09-12-24
RCC RW (3000 -3600),600,Bill No. 02,Footing,5.9,3450-3474,24,16983,20-22,09-12-24
RCC RW (3000 -3600),600,Bill No. 03,Footing,5.9,3474-3615,141,16981,44-48,11-01-25
RCC RW (3600-4000),400,Bill No. 0,Footing,5.9,3600-3615,15,16981,44-48,11-01-25
RCC RW (3600-4000),400,Bill No. 04,Footing,5.9,3615-3626,11,16991,21-24,30-01-25
RCC RW (3600-4000),400,Bill No. 03,Footing,5.9,3626-3683,57,16981,44-48,11-01-25
RCC RW (3600-4000),400,Bill No. 04,Footing,5.9,3683-3778,95,16991,21-24,30-01-25
RCC RW (3600-4000),400,Bill No. 09,Footing,5.9,3778-3790,12,16991,79-81,09-05-25
RCC RW (3600-4000),400,Bill No. 11,Footing,5.9,3790-3828,38,16991,99-100,06-07-25
RCC RW (3600-4000),400,Bill No. 09,Footing,5.9,3828-3840,12,16991,79-81,09-05-25
RCC RW (3600-4000),400,Bill No. 04,Footing,5.9,3840-3958,118,16991,25-29,01-02-25
RCC RW (3600-4000),400,Bill No. 05,Footing,5.9,3958-3969,11,16991,44-45,14-02-25
RCC RW (3600-4000),400,Bill No. 06,Footing,5.9,3969-3993,24,16990,18-20,08-04-25
RCC RW (4000-4675),675,Bill No. 08,Footing,5.9,4014-4026,12,16983,62-64,06-04-25
RCC RW (4000-4675),675,Bill No. 06,Footing,6.9,4026-4050,24,16983,49-51,06-03-25
RCC RW (4000-4675),675,Bill No. 05,Footing,6.9,4050-4086,36,16981,68-71,15-02-25
RCC RW (4000-4675),675,Bill No. 08,Footing,6.9,4086-4156,70,16983,62-64,06-04-25
RCC RW (4000-4675),675,Bill No. 09,Footing,7.8,4156-4226,70,16981,85-87,03-05-25
RCC RW (4000-4675),675,Bill No. 10,Footing,7.8,4226-4238,12,16983,79-81,05-06-25
RCC RW (4000-4675),675,Bill No. 09,Footing,7.8,4238-4273,35,16981,85-87,03-05-25
RCC RW (4000-4675),675,Bill No. 10,Footing,7.8,4273-4301,28,16983,79-81,05-06-25
RCC RW (4000-4675),675,Bill No. 09,Footing,7.8,4301-4325,24,16981,85-87,03-05-25
RCC RW (4000-4675),675,Bill No. 10,Footing,7.8,4356-4367,11,16983,79-81,05-06-25
RCC RW (4000-4675),675,Bill No. 09,Footing,7.8,4367-4391,24,16981,88-90,08-05-25
RCC RW (4000-4675),675,Bill No. 08,Footing,6.9,4391-4403,12,16983,62-64,06-04-25
RCC RW (4000-4675),675,Bill No. 07,Footing,6.9,4403-4462,59,16982,56-58,16-03-25
RCC RW (4000-4675),675,Bill No. 05,Footing,6.9,4462-4568,106,16981,66-67,14-02-25
RCC RW (4000-4675),675,Bill No. 05,Footing,6.9,4568-4675,107,16981,68-71,15-02-25
RCC RW (4675-5000),325,Bill No. 06,Footing,6.9,4675-4778,103,16983,49-51,06-03-25
RCC RW (4675-5000),325,Bill No. 10,Footing,6.9,4778-4848,70,16983,79-81,05-06-25
RCC RW (4675-5000),325,Bill No. 11,Footing,6.9,4848-4865,17,17170,09-12,01-07-25
RCC RW (4675-5000),325,Bill No. 12,Footing,6.9,4865-4914,49,17170,35-37,02-08-25
RCC RW (4675-5000),325,Bill No. 11,Footing,6.9,4914-4962,48,17170,09-12,01-07-25
RCC RW (4675-5000),325,Bill No. 12,Footing,6.9,4962-5000,38,17170,35-37,02-08-25
RCC RW (5000-5125),125,Bill No. 12,Footing,7.1,5000-5031,31,17170,35-37,02-08-25
RCC RW (5000-5125),125,Bill No. 13,Footing,5.9,5031-5056,25,17170,57-58,02-09-25
RCC RW (5000-5125),125,Bill No. 10,Footing,7.1,5080-5125,45,16983,79-81,05-06-25
RCC RW (5000-5125),125,Bill No. 11,Footing,7.1,5056-5080,24,17170,09-12,01-07-25
RCC RW (5125-5500),375,Bill No. 09,Footing,7.1,5415-5500,85,16981,88-90,08-05-25
RCC RW (5125-5500),375,Bill No. 10,Footing,7.1,5125-5150,25,16983,82-85,10-06-25
RCC RW (5125-5500),375,Bill No. 10,Footing,7.8,5150-5255,105,16983,82-85,10-06-25
RCC RW (5125-5500),375,Bill No. 11,Footing,7.8,5255-5267,12,17170,09-12,01-07-25
RCC RW (5125-5500),375,Bill No. 11,Footing,8.4,5271-5286,15,17170,09-12,01-07-25
RCC RW (5125-5500),375,Bill No. 10,Footing,8.4,5286-5321,35,16983,82-85,10-06-25
RCC RW (5125-5500),375,Bill No. 10,Footing,7.1,5321-5415,94,16983,82-85,10-06-25
RCC RW (5500-6000),500,Bill No. 09,Footing,7.1,5500-5520,20,16981,85-87,03-05-25
RCC RW (5500-6000),500,Bill No. 08,Footing,7.1,5520-5590,70,16983,62-64,06-04-25
RCC RW (5500-6000),500,Bill No. 10,Footing,5.9,5590-5602,12,16983,82-85,10-06-25
RCC RW (5500-6000),500,,No wall,,5600-6000,400,,,
RCC RW (6000 -6500),500,,No wall,,6000-6025,25,,,
RCC RW (6000 -6500),500,Bill No. 06,Footing,6.9,6058-6070,12,16983,49-51,06-03-25
RCC RW (6000 -6500),500,Bill No. 04,Footing,6.9,6070-6106,36,16983,37-39,30-01-25
RCC RW (6000 -6500),500,Bill No. 05,Footing,6.9,6106-6178,72,16981,66-67,14-02-25
RCC RW (6000 -6500),500,Bill No. 11,Footing,6.9,6178-6208,30,17170,09-12,01-07-25
RCC RW (6000 -6500),500,Bill No. 11,Footing,5.1,6235-6253,18,17170,13-15,10-07-25
RCC RW (6000 -6500),500,Bill No. 10,Footing,5.1,6253-6288,35,16983,82-85,10-06-25
RCC RW (6000 -6500),500,Bill No. 02,Footing,5.1,6288-6306,18,16983,20-22,09-12-24
RCC RW (6000 -6500),500,Bill No. 01,Footing,5.1,6306-6410,104,16981,15-18,22-10-24
RCC RW (6000 -6500),500,Bill No. 02,Footing,5.1,6410-6457,47,16983,20-22,09-12-24
RCC RW (6000 -6500),500,Bill No. 12,Footing,5.1,6457-6500,43,17170,35-37,02-08-25
RCC RW (6500 - 6775),275,Bill No. 12,Footing,5.9,6500-6547,47,17170,38-40,08-08-25
RCC RW (6500 - 6775),275,Bill No. 14,Footing,5.9,6547-6557,10,17170,67-68,10-10-25
RCC RW (6500 - 6775),275,Bill No. 07,Footing,5.9,6557-6581,24,16982,56-58,16-03-25
RCC RW (6500 - 6775),275,Bill No. 06,Footing,5.9,6581-6593,12,16983,49-51,06-03-25
RCC RW (6500 - 6775),275,Bill No. 04,Footing,5.9,6593-6653,60,16983,37-39,30-01-25
RCC RW (6500 - 6775),275,Bill No. 16,Footing,5.9,6653-6669,16,17165,33-34,05-12-25
RCC RW (6500 - 6775),275,Bill No. 04,Footing,5.9,6669-6741,72,16983,37-39,30-01-25
RCC RW (6500 - 6775),275,Bill No. 01,Footing,5.9,6741-6775,34,16981,15-18,22-10-24
RCC RW (6775 - 7000),225,Bill No. 03,Footing,7.1,6775-6825,50,16981,44-48,11-01-25
RCC RW (6775 - 7000),225,Bill No. 01,Footing,7.1,6825-6850,25,16981,15-18,22-10-24
RCC RW (6775 - 7000),225,Bill No. 03,Footing,7.1,6850-6875,25,16981,44-48,11-01-25
RCC RW (6775 - 7000),225,Bill No. 05,Footing,8.1,6875-6910,35,16981,68-71,15-02-25
RCC RW (6775 - 7000),225,Bill No. 06,Footing,8.1,6910-6936,26,16983,49-51,06-03-25
RCC RW (6775 - 7000),225,Bill No. 07,Footing,8.1,6936-6975,39,16982,56-58,16-03-25
RCC RW (6775 - 7000),225,Bill No. 12,Footing,10,6975-7000,25,17170,38-40,08-08-25
RCC RW (7000-7375),375,Bill No. 12,Footing,10,7000-7036,36,17170,38-40,08-08-25
RCC RW (7000-7375),375,Bill No. 12,Footing,10,7040-7070,30,17170,38-40,08-08-25
RCC RW (7000-7375),375,Bill No. 11,Footing,10,7070-7108,38,17170,13-15,10-07-25
RCC RW (7000-7375),375,Bill No. 11,Footing,8.1,7108-7132,24,17170,13-15,10-07-25
RCC RW (7000-7375),375,Bill No. 03,Footing,5.9,7132-7212,80,16981,44-48,11-01-25
RCC RW (7000-7375),375,Bill No. 01,Footing,5.9,7212-7296,84,16981,15-18,22-10-24
RCC RW (7000-7375),375,Bill No. 01,Footing,5.1,7296-7338,42,16981,15-18,22-10-24
RCC RW (7000-7375),375,Bill No. 01,Footing,5.1,7319-7352,33,16981,15-18,22-10-24
RCC RW (7000-7375),375,Bill No. 07,Footing,5.1,7352-7375,23,16982,56-58,16-03-25
RCC RW (7375-7650) ,275,Bill No. 11,Footing,5.1,7475-7535,60,17170,13-15,10-07-25
RCC RW (7375-7650) ,275,Bill No. 14,Footing,5.1,7535-7601,66,17170,67-68,10-10-25
RCC RW (7375-7650) ,275,Bill No. 11,Footing,5.1,7601-7625,24,17170,13-15,10-07-25
RCC RW (7825-8150),325,Bill No. 09,Footing,5.1,7825-7895,70,16981,88-90,08-05-25
RCC RW (7825-8150),325,Bill No. 09,Footing,5.1,7895-7965,70,16981,85-87,03-05-25
RCC RW (7825-8150),325,Bill No. 10,Footing,5.1,7965-7989,24,16983,82-85,10-06-25
RCC RW (7825-8150),325,Bill No. 09,Footing,5.1,7989-8024,35,16981,88-90,08-05-25
RCC RW (7825-8150),325,Bill No. 10,Footing,5.1,8024-8150,126,16983,79-81,05-06-25
RCC RW (0-280) (mid),280,Bill No. 14,Below Sill,5,78-114,36,17165,9-10,03-10-25
RCC RW (0-280) (mid),280,Bill No. 13,Below Sill,5,114-200,86,16990,83-84,12-09-25
RCC RW (0-280) (mid),280,Bill No. 13,Below Sill,5,200-235,35,16990,83-84,12-09-25
RCC RW (0-280) (mid),280,Bill No. 14,Below Sill,5,235-270,35,17165,9-10,03-10-25
RCC RW (0-280) (mid),280,Bill No. 15,Below Sill,5,270-280,10,17165,24-25,13-11-25
RCC RW (125-225),100,Bill No. 14,Below Sill,6.9,164-200,36,17165,11-12,08-10-25
RCC RW (225-500),275,Bill No. 13,Below Sill,7.8,250-380,130,16990,81-82,09-09-25
RCC RW (225-500),275,Bill No. 12,Below Sill,7.8,380-400,20,16990,66-67,17-08-25
RCC RW (225-500),275,Bill No. 11,Below Sill,7.8,400-480,80,16990,50-52,10-07-25
RCC RW (225-500),275,Bill No. 11,Below Sill,7.8,484-500,16,16990,50-52,10-07-25
RCC RW (500-1000),500,Bill No. 10,Below Sill,7.8,500-603,103,16990,39-40,14-06-25
RCC RW (500-1000),500,Bill No. 09,Below Sill,7.8,603-639,36,16991,81-83,09-05-25
RCC RW (500-1000),500,Bill No. 15,Below Sill,7.8,639-651,12,17165,24-25,13-11-25
RCC RW (500-1000),500,Bill No. 08,Below Sill,7.8,651-699,48,16990,21-22,12-04-25
RCC RW (500-1000),500,Bill No. 07,Below Sill,7.8,699-794,95,16991,63-64,21-03-25
RCC RW (500-1000),500,Bill No. 06,Below Sill,7.8,794-818,24,16990,8-10,07-03-25
RCC RW (500-1000),500,Bill No. 09,Below Sill,7.8,818-914,96,16991,81-83,09-05-25
RCC RW (500-1000),500,Bill No. 10,Below Sill,7.8,914-950,36,16990,39-40,14-06-25
RCC RW (500-1000),500,Bill No. 10,Below Sill,8.4,950-962,12,16990,41-43,14-06-25
RCC RW (500-1000),500,Bill No. 10,Below Sill,10,962-969,7,16990,41-43,14-06-25
RCC RW (500-1000),500,Bill No. 10,Below Sill,10,973-1000,27,16990,41-43,14-06-25
RCC RW (1000-1500),500,Bill No. 10,Below Sill,10,1000-1022,22,16990,41-43,14-06-25
RCC RW (1000-1500),500,Bill No. 11,Below Sill,10,1022-1150,128,16990,53-54,16-07-25
RCC RW (1000-1500),500,Bill No. 12,Below Sill,6.9,1158-1174,16,16990,66-67,17-08-25
RCC RW (1000-1500),500,Bill No. 10,Below Sill,6.9,1174-1239,65,16990,41-43,14-06-25
RCC RW (1000-1500),500,Bill No. 16,Below Sill,,1239-1250,11,17165,35-36,09-12-25
RCC RW (1000-1500),500,Bill No. 14,Below Sill,6.9,1250-1284,34,17165,11-12,08-10-25
RCC RW (1000-1500),500,Bill No. 13,Below Sill,6.9,1284-1404,120,16990,81-82,09-09-25
RCC RW (1000-1500),500,Bill No. 14,Below Sill,6.9,1404-1441,37,17165,11-12,08-10-25
RCC RW (1000-1500),500,Bill No. 10,Below Sill,6.9,1441-1465,24,16990,41-43,14-06-25
RCC RW (1000-1500),500,Bill No. 06,Below Sill,6.9,1465-1500,35,16990,8-10,07-03-25
RCC RW (1500-2000),500,Bill No. 06,Below Sill,6.9,1500-1507,7,16990,8-10,07-03-25
RCC RW (1500-2000),500,Bill No. 05,Below Sill,6.9,1511-1592,81,16991,46-49,15-02-25
RCC RW (1500-2000),500,Bill No. 05,Below Sill,6.9,1592-1639,47,16991,50-53,17-02-25
RCC RW (1500-2000),500,Bill No. 04,Below Sill,6.9,1639-1710,71,16991,16-20,28-01-25
RCC RW (1500-2000),500,Bill No. 04,Below Sill,6.9,1710-1733,23,16991,16-20,28-01-25
RCC RW (1500-2000),500,Bill No. 03,Below Sill,5.9,1733-1805,72,16981,39-43,07-01-25
RCC RW (1500-2000),500,Bill No. 07,Below Sill,5.9,1805-1825,20,16991,63-64,21-03-25
RCC RW (1500-2000),500,Bill No. 07,Below Sill,7.8,1825-1837,12,16991,63-64,21-03-25
RCC RW (1500-2000),500,Bill No. 07,Below Sill,8.4,1837-1861,24,16991,63-64,21-03-25
RCC RW (1500-2000),500,Bill No. 06,Below Sill,8.4,1861-1883,22,16990,21-22,12-04-25
RCC RW (1500-2000),500,Bill No. 09,Below Sill,8.4,1908-1976,68,16991,84-85,14-05-25
RCC RW (1500-2000),500,Bill No. 09,Below Sill,7.8,1976-1988,12,16991,81-83,09-05-25
RCC RW (1500-2000),500,Bill No. 06,Below Sill,6.9,1988-2000,12,16990,21-22,12-04-25
RCC RW  (2000 - 2600),600,Bill No. 04,Below Sill,5.9,2000-2030,30,16991,21-24,30-01-25
RCC RW  (2000 - 2600),600,Bill No. 03,Below Sill,5.9,2030-2069,39,16981,39-43,07-01-25
RCC RW  (2000 - 2600),600,Bill No. 03,Below Sill,5.9,2074-2150,76,16981,39-43,07-01-25
RCC RW  (2000 - 2600),600,Bill No. 02,Below Sill,5.9,2150-2186,36,16983,16-19,06-12-24
RCC RW  (2000 - 2600),600,Bill No. 02,Below Sill,5.9,2186-2221,35,16983,16-19,06-12-24
RCC RW  (2000 - 2600),600,Bill No. 03,Below Sill,5.9,2221-2246,25,16981,44-48,11-01-25
RCC RW  (2000 - 2600),600,Bill No. 04,Below Sill,5.9,2246-2281,35,16991,21-24,30-01-25
RCC RW  (2000 - 2600),600,Bill No. 05,Below Sill,5.9,2281-2293,12,16991,50-53,17-02-25
RCC RW  (2000 - 2600),600,Bill No. 12,Below Sill,5.9,2293-2335,42,16990,66-67,17-08-25
RCC RW  (2000 - 2600),600,Bill No. 02,Below Sill,5.9,2335-2370,35,16983,16-19,06-12-24
RCC RW  (2000 - 2600),600,Bill No. 02,Below Sill,5.9,2370-2405,35,16983,16-19,06-12-24
RCC RW  (2000 - 2600),600,Bill No. 02,Below Sill,5.9,2405-2417,12,16983,16-19,06-12-24
RCC RW  (2000 - 2600),600,Bill No. 03,Below Sill,5.9,2417-2496,79,16981,44-48,11-01-25
RCC RW  (2000 - 2600),600,Bill No. 04,Below Sill,5.9,2496-2500,4,16991,21-24,30-01-25
RCC RW  (2000 - 2600),600,Bill No. 04,Below Sill,6.9,2500-2531,31,16991,21-24,30-01-25
RCC RW  (2000 - 2600),600,Bill No. 06,Below Sill,6.9,2531-2547,16,16990,8-10,07-03-25
RCC RW  (2000 - 2600),600,Bill No. 05,Below Sill,6.9,2547-2571,24,16991,50-53,17-02-25
RCC RW  (2000 - 2600),600,Bill No. 06,Below Sill,6.9,2571-2600,29,16990,8-10,07-03-25
RCC RW (2600-3000),400,Bill No. 09,Below Sill,6.9,2600-2650,50,16991,84-85,14-05-25
RCC RW (2600-3000),400,,No wall,,2650-3000,350,,,
RCC RW (3000 -3600),600,,No wall,,3000-3125,125,,,
RCC RW (3000 -3600),600,Bill No. 15,Below Sill,5.9,3125-3135,10,17165,24-25,13-11-25
RCC RW (3000 -3600),600,Bill No. 12,Below Sill,5.9,3135-3150,15,16990,66-67,17-08-25
RCC RW (3000 -3600),600,Bill No. 02,Below Sill,5.9,3150-3220,70,16983,23-25,17-12-24
RCC RW (3000 -3600),600,Bill No. 03,Below Sill,5.9,3220-3236,16,16981,44-48,11-01-25
RCC RW (3000 -3600),600,Bill No. 03,Below Sill,5.9,3240-3251,11,16981,44-48,11-01-25
RCC RW (3000 -3600),600,Bill No. 02,Below Sill,5.9,3251-3275,24,16983,23-25,17-12-24
RCC RW (3000 -3600),600,Bill No. 02,Below Sill,5.9,3275-3450,175,16983,23-25,17-12-24
RCC RW (3000 -3600),600,Bill No. 02,Below Sill,5.9,3450-3474,24,16983,23-25,17-12-24
RCC RW (3000 -3600),600,Bill No. 03,Below Sill,5.9,3474-3615,141,16981,49-55,18-01-25
RCC RW (3600-4000),400,Bill No. 0,Below Sill,5.9,3600-3615,15,16981,49-55,18-01-25
RCC RW (3600-4000),400,Bill No. 04,Below Sill,5.9,3615-3626,11,16991,25-29,01-02-25
RCC RW (3600-4000),400,Bill No. 03,Below Sill,5.9,3626-3683,57,16981,49-55,18-01-25
RCC RW (3600-4000),400,Bill No. 04,Below Sill,5.9,3683-3778,95,16991,25-29,01-02-25
RCC RW (3600-4000),400,Bill No. 09,Below Sill,5.9,3778-3790,12,16991,84-85,14-05-25
RCC RW (3600-4000),400,Bill No. 11,Below Sill,5.9,3790-3828,38,16990,50-52,10-07-25
RCC RW (3600-4000),400,Bill No. 09,Below Sill,5.9,3828-3840,12,16991,84-85,14-05-25
RCC RW (3600-4000),400,Bill No. 04,Below Sill,5.9,3840-3958,118,16991,30-33,03-02-25
RCC RW (3600-4000),400,Bill No. 05,Below Sill,5.9,3958-3969,11,16991,46-49,15-02-25
RCC RW (3600-4000),400,Bill No. 06,Below Sill,5.9,3969-3993,24,16990,21-22,12-04-25
RCC RW (4000-4675),675,Bill No. 08,Below Sill,5.9,4014-4026,12,16983,65-67,10-04-25
RCC RW (4000-4675),675,Bill No. 06,Below Sill,6.9,4026-4050,24,16983,52-54,09-03-25
RCC RW (4000-4675),675,Bill No. 05,Below Sill,6.9,4050-4086,36,16981,72-73,17-02-25
RCC RW (4000-4675),675,Bill No. 08,Below Sill,6.9,4086-4156,70,16983,65-67,10-04-25
